INSEE;lon;lat
200029734;-0.11;45.42
200070738;5.91;48.98
200040350;5.68;45.85
200071892;3.27;49.81
200072726;-1.43;47.68
249740085;0.26;41.78
241927201;1.79;45.31
200073237;0.57;47.57
200071652;-0.21;48.57
200018521;1.79;46.60
248400285;5.56;43.75
245300389;-0.82;48.42
200071413;4.61;44.80
200068807;1.45;43.34
200070746;7.02;49.06
200040574;4.63;45.92
200038958;8.99;41.87
200036150;5.87;47.80
200070506;1.12;45.66
248500530;-1.63;46.62
244000873;-1.09;44.36
249740093;0.29;41.98
240500439;6.55;44.98
200066058;7.46;47.61
200071868;-0.73;47.61
248500589;-1.39;46.66
200037059;2.98;49.97
200035087;4.88;43.84
200096634;6.81;48.01
247000706;6.02;47.42
248400251;4.83;43.97
240300491;3.65;46.23
200041499;-0.91;46.26
200071629;-1.90;46.89
245701164;6.66;49.20
247700701;2.98;48.57
200070795;0.43;43.29
249500430;2.13;49.12
200067700;3.44;46.82
200070555;4.95;46.24
249500489;2.28;49.15
247300254;6.88;45.57
247300015;6.46;45.52
200070316;3.94;46.65
248300493;6.46;43.56
243500659;-1.47;48.06
200072544;3.29;48.83
244000881;-0.75;43.61
200072304;6.67;44.43
200096642;6.85;48.09
200033116;6.58;46.03
248500340;-1.09;46.69
200067940;1.18;42.92
200067155;2.83;43.95
200039857;6.82;43.75
200071876;-0.13;47.27
244000857;-1.23;43.95
242504116;6.61;47.05
200090751;1.86;50.92
242700607;0.97;49.15
243600319;1.21;46.64
200067957;6.36;49.14
200041465;4.40;44.94
200006930;3.77;44.73
200070563;5.89;48.72
200041010;6.13;45.50
200070324;6.63;48.52
200072999;5.39;47.94
200066033;7.12;47.62
200042372;0.80;43.58
244000865;-1.31;43.70
200067122;1.28;44.14
200039824;4.21;44.68
247600729;1.29;49.91
200071207;4.59;47.20
243600327;1.74;46.78
200067924;7.64;48.38
200070779;2.79;48.57
200040392;0.76;45.13
240500462;6.48;44.81
200070530;4.27;46.94
200073260;-1.14;46.46
200033579;2.78;50.28
200069912;0.99;48.60
243800604;5.25;45.59
248900938;3.35;48.00
200066280;2.22;48.17
244800405;3.50;44.53
241927243;1.56;45.45
245804497;3.19;46.78
243500634;-1.39;47.90
244600482;1.42;44.70
200068831;2.39;44.24
200066041;7.29;47.55
248500563;-0.70;46.40
245614433;-2.92;48.08
246000848;1.88;49.61
200067130;3.21;47.67
200039832;4.12;44.42
200071454;1.22;48.94
200067932;-2.74;47.68
244701355;0.07;44.27
200071215;2.63;45.80
200057966;2.28;48.78
242504371;6.59;47.30
200070787;0.36;43.11
200070548;4.30;46.27
248900748;3.11;48.16
200073245;4.37;44.68
244200820;3.83;45.92
200070308;4.77;46.33
200096675;-3.01;47.93
244000675;-1.07;43.73
200040137;4.51;48.44
200000172;6.41;46.04
200023240;2.59;48.27
248400293;4.96;44.02
241700624;-1.29;45.94
200068815;1.08;43.33
200039642;4.10;47.83
200041283;8.10;48.93
243600301;1.45;46.84
240700815;4.52;44.59
200029999;5.40;46.07
248400053;5.12;44.11
200038990;-2.11;48.19
245400759;6.51;48.68
244900809;-0.98;47.69
245200597;4.94;48.02
200069961;1.23;48.10
243000650;4.20;43.55
200067502;6.71;49.03
243100633;1.54;43.48
200070118;4.82;46.13
200090504;3.07;48.85
246700843;7.80;48.73
241700632;-0.71;45.62
243600350;2.04;46.58
241200914;2.85;44.09
200072346;2.62;48.40
200073013;2.39;49.10
248719288;1.12;45.78
200072106;0.04;43.42
200067981;-3.26;48.53
200071678;-0.69;47.09
200057941;2.49;48.82
200067999;2.13;49.45
200067742;6.46;44.56
245614417;-3.44;48.07
244000659;-1.38;43.54
247000714;6.48;47.56
200041051;1.03;44.81
200070365;2.78;42.90
200006971;0.91;48.25
200040384;0.16;45.05
200067759;4.64;49.88
200057859;2.27;48.60
245400510;5.90;48.51
200070126;3.96;48.51
200073252;9.42;42.45
247600505;0.40;49.65
243500667;-1.65;48.28
242401024;1.09;45.35
200096683;-2.77;47.89
244200614;4.01;45.86
